user_id,d,b,w,bookmarks,exercises
706,7.0,1.1,20,11,0
707,7.0,1.1,20,11,0
708,7.0,1.1,20,11,0
709,7.0,1.1,20,11,0
710,7.0,1.1,20,11,0
711,7.0,1.1,20,11,0
712,7.0,1.1,20,11,0
713,7.0,1.1,20,11,0
714,7.0,1.1,20,11,0
715,7.0,1.1,20,11,0
716,7.0,1.1,20,11,0
717,7.0,1.1,20,11,0
718,7.0,1.1,15.0,12,0
719,7.0,1.1,20,11,0
720,7.0,1.1,20,11,0
721,7.0,1.1,20,11,0
722,7.0,1.1,20,11,0
723,7.0,1.1,20,11,0
724,7.0,1.1,20,11,0
727,7.0,1.1,20,11,0
728,7.0,1.1,20,11,0
729,7.0,1.1,20,11,0
730,7.0,1.1,20,11,0
731,7.0,1.1,20,11,0
732,7.0,1.1,20,11,0
733,7.0,1.1,20,11,0
734,7.0,1.1,20,11,0
735,7.0,1.1,20,11,0
736,7.0,1.1,20,11,0
737,7.0,1.1,20,11,0
738,7.0,1.1,20,11,0
739,7.0,1.1,20,11,0
740,7.0,1.1,20,11,0
741,7.0,1.1,20,11,0
742,7.0,1.1,20,11,0
743,7.0,1.1,20,11,0
744,7.0,1.1,20,11,0
745,7.0,1.1,20,11,0
746,7.0,1.1,20,11,0
747,7.0,1.1,20,11,0
748,7.0,1.1,20,11,0
749,7.0,1.1,15.0,12,0
750,7.0,1.1,20,11,0
751,7.0,1.1,20,11,0
752,7.0,1.1,20,11,0
753,7.0,1.1,20,11,0
754,7.0,1.1,20,11,0
755,7.0,1.1,20,11,0
756,7.0,1.1,20,11,0
757,7.0,1.1,20,11,0
758,7.0,1.1,20,11,0
759,1.375,2.975,20,46,65
762,37.0,1.1,20,9,16
764,7.0,1.1,20,11,0
765,7.0,1.1,20,11,0
766,7.0,1.1,20,11,0
767,7.0,1.1,20,11,0
768,7.0,1.1,20,11,0
769,7.0,1.1,20,11,0
770,7.0,1.1,20,11,0
772,7.0,1.1,20,11,0
773,7.0,1.1,20,11,0
774,7.0,1.1,20,11,0
775,7.0,1.1,20,11,0
776,7.0,1.1,20,11,0
777,7.0,1.1,20,11,0
778,7.0,1.1,20,11,0
