user_id,d,b,w,bookmarks,exercises
697,1.84375,1.1,30.0,11,0
698,7.0,0.1499999999999999,22.5,12,0
699,1.84375,1.1,30.0,11,0
700,1.84375,1.1,30.0,11,0
701,7.0,0.1499999999999999,22.5,12,0
702,1.84375,1.1,30.0,11,0
703,1.84375,1.1,30.0,11,0
704,1.84375,1.1,30.0,11,0
705,1.84375,1.1,30.0,11,0
706,1.84375,1.1,30.0,11,0
707,1.84375,1.1,30.0,11,0
708,1.84375,1.1,30.0,11,0
709,1.84375,1.1,30.0,11,0
710,1.84375,1.1,30.0,11,0
711,1.84375,1.1,30.0,11,0
712,1.84375,1.1,30.0,11,0
713,1.84375,1.1,30.0,11,0
714,1.84375,1.1,30.0,11,0
715,1.84375,1.1,30.0,11,0
716,1.84375,1.1,30.0,11,0
717,1.84375,1.1,30.0,11,0
718,7.0,0.1499999999999999,22.5,12,0
719,1.84375,1.1,30.0,11,0
720,1.84375,1.1,30.0,11,0
721,1.84375,1.1,30.0,11,0
722,1.84375,1.1,30.0,11,0
723,1.84375,1.1,30.0,11,0
724,1.84375,1.1,30.0,11,0
727,1.84375,1.1,30.0,11,0
728,1.84375,1.1,30.0,11,0
729,1.84375,1.1,30.0,11,0
730,1.84375,1.1,30.0,11,0
731,1.84375,1.1,30.0,11,0
732,1.84375,1.1,30.0,11,0
733,1.84375,1.1,30.0,11,0
734,1.84375,1.1,30.0,11,0
735,1.84375,1.1,30.0,11,0
736,1.84375,1.1,30.0,11,0
737,1.84375,1.1,30.0,11,0
738,1.84375,1.1,30.0,11,0
739,1.84375,1.1,30.0,11,0
740,1.84375,1.1,30.0,11,0
741,1.84375,1.1,30.0,11,0
742,1.84375,1.1,30.0,11,0
743,1.84375,1.1,30.0,11,0
744,1.84375,1.1,30.0,11,0
745,1.84375,1.1,30.0,11,0
746,1.84375,1.1,30.0,11,0
747,1.84375,1.1,30.0,11,0
748,1.84375,1.1,30.0,11,0
749,7.0,0.1499999999999999,22.5,12,0
750,1.84375,1.1,30.0,11,0
751,1.84375,1.1,30.0,11,0
752,1.84375,1.1,30.0,11,0
753,1.84375,1.1,30.0,11,0
754,1.84375,1.1,30.0,11,0
755,1.84375,1.1,30.0,11,0
756,1.84375,1.1,30.0,11,0
757,1.84375,1.1,30.0,11,0
758,1.84375,1.1,30.0,11,0
759,12.0,1.1,15.0,46,65
762,0.5,0.1499999999999999,30.0,9,16
764,1.84375,1.1,30.0,11,0
765,1.84375,1.1,30.0,11,0
766,1.84375,1.1,30.0,11,0
767,1.84375,1.1,30.0,11,0
